iter	Passed	Remaining
200	129907	63984
201	130511	63317
202	131101	62644
203	131722	61986
204	132302	61310
205	132918	60652
206	133480	59969
207	134047	59290
208	134661	58632
209	135214	57948
210	135873	57311
211	136426	56629
212	136987	55952
213	137604	55298
214	138225	54647
215	138767	53965
216	139405	53321
217	139978	52652
218	140558	51987
219	141102	51310
220	141693	50650
221	142251	49980
222	142856	49327
223	143431	48664
224	144088	48029
225	144582	47341
226	145295	46724
227	145756	46028
228	146354	45376
229	146868	44699
230	147542	44071
231	148052	43394
232	148654	42746
233	149264	42100
234	149842	41445
235	150477	40807
236	151057	40154
237	151652	39505
238	152290	38869
239	152876	38219
240	153400	37554
241	153978	36903
242	154548	36252
243	155090	35594
244	155706	34954
245	156254	34299
246	156818	33649
247	157424	33008
248	158006	32362
249	158619	31723
250	159204	31079
251	159739	30426
252	160322	29783
253	160951	29148
254	161531	28505
255	162116	27863
256	162709	27223
257	163226	26571
258	163850	25937
259	164513	25309
260	165134	24675
261	165706	24033
262	166328	23399
263	166911	22760
264	167519	22125
265	168119	21488
266	168751	20856
267	169287	20213
268	169914	19581
269	170457	18939
270	171115	18311
271	171689	17673
272	172282	17038
273	172763	16393
274	173373	15761
275	173919	15123
276	174520	14490
277	175065	13854
278	175632	13219
279	176281	12591
280	176824	11956
281	177351	11320
282	177865	10684
283	178417	10051
284	178999	9421
285	179556	8789
286	180070	8156
287	180624	7526
288	181246	6898
289	181915	6272
290	182431	5642
291	182968	5012
292	183551	4385
293	184136	3757
294	184667	3129
295	185289	2503
296	185867	1877
297	186440	1251
298	187016	625
299	187580	0
5	135241	932072296	135623	926992297	136026	92205
298	136376	91677
299	136811	91207
300	137206	90711
301	137580	90201
302	137963	896983303	138375	892153304	138797	887393305	139160	882263306	139601	877623307	140017	872833308	140418	86795
309	140857	86331
310	141313	85878
311	141681	85372
312	142118	84907
313	142484	84401
314	142910	83931
315	143308	83445
316	143790	83008
317	144194	82526
318	144663	82081
319	145036	81582
320	145454	81110
321	145831	80614
322	146258	80147
323	146655	79664
324	147126	79221
325	147523	78739
326	147980	78289
327	148392	77815
328	148807	77343
329	149214	76868
330	149673	76419
331	150046	75927
332	150456	75454
333	150866	74981
334	151295	74518
335	151657	74023
336	152055	73546
337	152434	73060
338	152822	72579
339	153195	72091
340	153568	71605
341	154004	71148
342	154362	70655
343	154726	70166
344	155162	69710
345	155534	69226
346	155882	68731
347	156316	68276
348	156705	67801
349	157140	67345
350	157597	66900
351	158021	66440
352	158410	65967
353	158775	65483
354	159187	65020
355	159621	64566
356	160051	64110
357	160438	63637
358	160879	63186
359	161254	62710
360	161652	62242
361	162102	61795
362	162554	61349
363	162904	60865
364	163331	60410
365	163739	59948
366	164118	59476
367	164463	58992
368	164845	58522
369	165255	58062
370	165689	57611
371	166054	57137
372	166435	56668
373	166810	56198
374	167195	55731
375	167538	55252
376	167864	54767
377	168302	54319
378	168697	53858
379	169081	53394
380	169497	52940
381	169892	52480
382	170285	52019
383	170636	51546
384	171057	51095
385	171423	50627
386	171865	50183
387	172240	49719
388	172622	49257
389	173091	48820
390	173473	48359
391	173895	47910
392	174322	47461
393	174707	47002
394	175099	46545
